 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> novembre 19, 2018 
 ==================================================================

 Disk File Name = SRIM Outputs\Sulfur in NIT.txt

 Ion = Sulfur [16] , Mass = 31,972 amu

 Target Density =  3,4400E+00 g/cm3 = 8,2898E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ag     47    010,02    043,26   
     Br     35    010,02    032,04   
      I     53    000,40    002,03   
      C      6    021,44    010,31   
      N      7    004,91    002,75   
      O      8    011,82    007,57   
      S     16    000,30    000,38   
      H      1    041,08    001,66   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   6,00 MeV   8,855E+00  9,980E-02    3,53 um     4556 A      5405 A   
   6,50 MeV   9,294E+00  9,386E-02    3,69 um     4597 A      5491 A   
   7,00 MeV   9,700E+00  8,864E-02    3,83 um     4634 A      5568 A   
   8,00 MeV   1,042E+01  7,991E-02    4,12 um     4704 A      5702 A   
   9,00 MeV   1,104E+01  7,288E-02    4,38 um     4763 A      5816 A   
  10,00 MeV   1,157E+01  6,708E-02    4,63 um     4813 A      5914 A   
  11,00 MeV   1,202E+01  6,220E-02    4,88 um     4857 A      6001 A   
  12,00 MeV   1,241E+01  5,804E-02    5,11 um     4897 A      6078 A   
  13,00 MeV   1,274E+01  5,445E-02    5,34 um     4932 A      6149 A   
  14,00 MeV   1,302E+01  5,131E-02    5,56 um     4965 A      6214 A   
  15,00 MeV   1,326E+01  4,853E-02    5,78 um     4995 A      6274 A   
  16,00 MeV   1,346E+01  4,607E-02    6,00 um     5023 A      6330 A   
  17,00 MeV   1,363E+01  4,387E-02    6,21 um     5050 A      6382 A   
  18,00 MeV   1,377E+01  4,188E-02    6,42 um     5076 A      6432 A   
  20,00 MeV   1,398E+01  3,843E-02    6,84 um     5140 A      6525 A   
  22,50 MeV   1,414E+01  3,490E-02    7,35 um     5224 A      6630 A   
  25,00 MeV   1,420E+01  3,201E-02    7,86 um     5304 A      6726 A   
  27,50 MeV   1,420E+01  2,959E-02    8,37 um     5381 A      6817 A   
  30,00 MeV   1,416E+01  2,753E-02    8,88 um     5456 A      6902 A   
  32,50 MeV   1,408E+01  2,576E-02    9,39 um     5529 A      6984 A   
  35,00 MeV   1,398E+01  2,422E-02    9,91 um     5601 A      7063 A   
  37,50 MeV   1,386E+01  2,286E-02   10,43 um     5672 A      7140 A   
  40,00 MeV   1,373E+01  2,166E-02   10,95 um     5743 A      7214 A   
  45,00 MeV   1,346E+01  1,963E-02   12,02 um     5980 A      7360 A   
  50,00 MeV   1,317E+01  1,796E-02   13,11 um     6215 A      7502 A   
  55,00 MeV   1,289E+01  1,657E-02   14,22 um     6450 A      7642 A   
  60,00 MeV   1,261E+01  1,539E-02   15,36 um     6686 A      7781 A   
  65,00 MeV   1,236E+01  1,438E-02   16,52 um     6922 A      7920 A   
  70,00 MeV   1,214E+01  1,351E-02   17,70 um     7159 A      8059 A   
  80,00 MeV   1,160E+01  1,205E-02   20,15 um     8018 A      8340 A   
  90,00 MeV   1,116E+01  1,090E-02   22,70 um     8856 A      8628 A   
 100,00 MeV   1,077E+01  9,956E-03   25,34 um     9678 A      8923 A   
 110,00 MeV   1,041E+01  9,173E-03   28,08 um     1,05 um     9226 A   
 120,00 MeV   1,009E+01  8,510E-03   30,92 um     1,13 um     9538 A   
 130,00 MeV   9,790E+00  7,942E-03   33,84 um     1,21 um     9858 A   
 140,00 MeV   9,516E+00  7,449E-03   36,85 um     1,29 um     1,02 um  
 150,00 MeV   9,262E+00  7,017E-03   39,94 um     1,37 um     1,05 um  
 160,00 MeV   9,026E+00  6,635E-03   43,11 um     1,44 um     1,09 um  
 170,00 MeV   8,804E+00  6,295E-03   46,37 um     1,52 um     1,12 um  
 180,00 MeV   8,596E+00  5,990E-03   49,71 um     1,60 um     1,16 um  
 200,00 MeV   8,212E+00  5,465E-03   56,62 um     1,89 um     1,24 um  
 225,00 MeV   7,785E+00  4,931E-03   65,71 um     2,29 um     1,34 um  
 250,00 MeV   7,403E+00  4,497E-03   75,27 um     2,68 um     1,44 um  
 275,00 MeV   7,057E+00  4,137E-03   85,32 um     3,04 um     1,55 um  
 300,00 MeV   6,742E+00  3,833E-03   95,85 um     3,40 um     1,66 um  
 325,00 MeV   6,453E+00  3,572E-03  106,86 um     3,75 um     1,78 um  
 350,00 MeV   6,187E+00  3,347E-03  118,35 um     4,10 um     1,91 um  
 375,00 MeV   5,940E+00  3,149E-03  130,34 um     4,45 um     2,04 um  
 400,00 MeV   5,711E+00  2,975E-03  142,81 um     4,80 um     2,17 um  
 450,00 MeV   5,299E+00  2,681E-03  169,22 um     6,11 um     2,46 um  
 500,00 MeV   4,940E+00  2,443E-03  197,61 um     7,34 um     2,76 um  
 550,00 MeV   4,627E+00  2,245E-03  228,01 um     8,53 um     3,08 um  
 600,00 MeV   4,352E+00  2,078E-03  260,39 um     9,71 um     3,43 um  
 650,00 MeV   4,110E+00  1,935E-03  294,74 um    10,88 um     3,79 um  
 700,00 MeV   3,899E+00  1,812E-03  331,04 um    12,06 um     4,17 um  
 800,00 MeV   3,551E+00  1,609E-03  409,15 um    16,41 um     4,99 um  
 900,00 MeV   3,287E+00  1,448E-03  494,22 um    20,40 um     5,87 um  
   1,00 GeV   3,073E+00  1,318E-03  585,67 um    24,21 um     6,82 um  
   1,10 GeV   2,877E+00  1,210E-03  683,41 um    27,94 um     7,82 um  
   1,20 GeV   2,708E+00  1,120E-03  787,53 um    31,64 um     8,88 um  
   1,30 GeV   2,557E+00  1,042E-03  897,99 um    35,36 um     9,99 um  
   1,40 GeV   2,421E+00  9,751E-04    1,01 mm    39,10 um    11,16 um  
   1,50 GeV   2,301E+00  9,165E-04    1,14 mm    42,87 um    12,39 um  
   1,60 GeV   2,194E+00  8,649E-04    1,27 mm    46,69 um    13,67 um  
   1,70 GeV   2,099E+00  8,190E-04    1,40 mm    50,55 um    15,00 um  
   1,80 GeV   2,012E+00  7,779E-04    1,54 mm    54,45 um    16,39 um  
   2,00 GeV   1,863E+00  7,074E-04    1,84 mm    69,22 um    19,32 um  
   2,25 GeV   1,709E+00  6,361E-04    2,25 mm    90,26 um    23,27 um  
   2,50 GeV   1,583E+00  5,784E-04    2,69 mm   109,98 um    27,51 um  
   2,75 GeV   1,478E+00  5,306E-04    3,17 mm   129,10 um    32,04 um  
   3,00 GeV   1,389E+00  4,905E-04    3,68 mm   147,93 um    36,83 um  
   3,25 GeV   1,312E+00  4,562E-04    4,21 mm   166,62 um    41,89 um  
   3,50 GeV   1,245E+00  4,265E-04    4,78 mm   185,26 um    47,19 um  
   3,75 GeV   1,187E+00  4,007E-04    5,38 mm   203,90 um    52,74 um  
   4,00 GeV   1,135E+00  3,779E-04    6,01 mm   222,58 um    58,51 um  
   4,50 GeV   1,048E+00  3,395E-04    7,34 mm   292,21 um    70,71 um  
   5,00 GeV   9,767E-01  3,085E-04    8,78 mm   356,47 um    83,72 um  
   5,50 GeV   9,178E-01  2,829E-04   10,31 mm   417,95 um    97,48 um  
   6,00 GeV   8,682E-01  2,613E-04   11,94 mm   477,78 um   111,93 um  
   6,50 GeV   8,259E-01  2,429E-04   13,66 mm   536,54 um   127,02 um  
   7,00 GeV   7,893E-01  2,270E-04   15,46 mm   594,53 um   142,71 um  
   8,00 GeV   7,293E-01  2,010E-04   19,29 mm   805,66 um   175,70 um  
   9,00 GeV   6,823E-01  1,805E-04   23,41 mm   995,58 um   210,58 um  
  10,00 GeV   6,445E-01  1,639E-04   27,79 mm     1,17 mm   247,08 um  
