 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> novembre 19, 2018 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in NIT.txt

 Ion = Hydrogen [1] , Mass = 1,008 amu

 Target Density =  3,4400E+00 g/cm3 = 8,2898E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ag     47    010,02    043,26   
     Br     35    010,02    032,04   
      I     53    000,40    002,03   
      C      6    021,44    010,31   
      N      7    004,91    002,75   
      O      8    011,82    007,57   
      S     16    000,30    000,38   
      H      1    041,08    001,66   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   4,00 MeV   5,553E-02  3,277E-05  126,58 um     6,12 um     9,45 um  
   4,50 MeV   5,117E-02  2,958E-05  153,55 um     7,66 um    11,31 um  
   5,00 MeV   4,752E-02  2,699E-05  182,70 um     9,16 um    13,29 um  
   5,50 MeV   4,442E-02  2,483E-05  214,01 um    10,67 um    15,41 um  
   6,00 MeV   4,175E-02  2,302E-05  247,41 um    12,18 um    17,65 um  
   6,50 MeV   3,942E-02  2,146E-05  282,87 um    13,72 um    20,01 um  
   7,00 MeV   3,736E-02  2,011E-05  320,36 um    15,28 um    22,49 um  
   8,00 MeV   3,390E-02  1,788E-05  401,24 um    20,15 um    27,81 um  
   9,00 MeV   3,110E-02  1,612E-05  489,91 um    24,86 um    33,59 um  
  10,00 MeV   2,877E-02  1,469E-05  586,19 um    29,55 um    39,81 um  
  11,00 MeV   2,680E-02  1,350E-05  689,92 um    34,27 um    46,47 um  
  12,00 MeV   2,511E-02  1,250E-05  800,95 um    39,08 um    53,56 um  
  13,00 MeV   2,365E-02  1,165E-05  919,16 um    43,98 um    61,06 um  
  14,00 MeV   2,236E-02  1,091E-05    1,04 mm    48,98 um    68,96 um  
  15,00 MeV   2,123E-02  1,026E-05    1,18 mm    54,10 um    77,27 um  
  16,00 MeV   2,021E-02  9,688E-06    1,32 mm    59,33 um    85,97 um  
  17,00 MeV   1,930E-02  9,179E-06    1,46 mm    64,69 um    95,06 um  
  18,00 MeV   1,848E-02  8,724E-06    1,61 mm    70,16 um   104,53 um  
  20,00 MeV   1,705E-02  7,942E-06    1,94 mm    87,57 um   124,60 um  
  22,50 MeV   1,558E-02  7,150E-06    2,38 mm   112,22 um   151,75 um  
  25,00 MeV   1,437E-02  6,507E-06    2,86 mm   136,17 um   181,13 um  
  27,50 MeV   1,336E-02  5,975E-06    3,38 mm   160,01 um   212,66 um  
  30,00 MeV   1,250E-02  5,527E-06    3,94 mm   184,03 um   246,30 um  
  32,50 MeV   1,175E-02  5,145E-06    4,54 mm   208,38 um   281,98 um  
  35,00 MeV   1,110E-02  4,813E-06    5,17 mm   233,14 um   319,67 um  
