 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> novembre 19, 2018 
 ==================================================================

 Disk File Name = SRIM Outputs\Carbon in NIT.txt

 Ion = Carbon [6] , Mass = 12 amu

 Target Density =  3,4400E+00 g/cm3 = 8,2898E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ag     47    010,02    043,26   
     Br     35    010,02    032,04   
      I     53    000,40    002,03   
      C      6    021,44    010,31   
      N      7    004,91    002,75   
      O      8    011,82    007,57   
      S     16    000,30    000,38   
      H      1    041,08    001,66   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   5,50 MeV   4,219E+00  7,538E-03    5,16 um     3947 A      5107 A   
   6,00 MeV   4,208E+00  7,018E-03    5,50 um     4009 A      5203 A   
   6,50 MeV   4,187E+00  6,570E-03    5,84 um     4069 A      5295 A   
   7,00 MeV   4,159E+00  6,179E-03    6,19 um     4128 A      5385 A   
   8,00 MeV   4,086E+00  5,531E-03    6,89 um     4300 A      5558 A   
   9,00 MeV   4,001E+00  5,014E-03    7,61 um     4469 A      5725 A   
  10,00 MeV   3,908E+00  4,591E-03    8,34 um     4636 A      5890 A   
  11,00 MeV   3,813E+00  4,238E-03    9,09 um     4804 A      6053 A   
  12,00 MeV   3,719E+00  3,939E-03    9,86 um     4972 A      6216 A   
  13,00 MeV   3,626E+00  3,682E-03   10,65 um     5142 A      6379 A   
  14,00 MeV   3,535E+00  3,458E-03   11,46 um     5314 A      6544 A   
  15,00 MeV   3,448E+00  3,262E-03   12,29 um     5489 A      6711 A   
  16,00 MeV   3,364E+00  3,088E-03   13,14 um     5665 A      6881 A   
  17,00 MeV   3,284E+00  2,933E-03   14,01 um     5844 A      7053 A   
  18,00 MeV   3,207E+00  2,794E-03   14,90 um     6026 A      7228 A   
  20,00 MeV   3,065E+00  2,553E-03   16,75 um     6658 A      7588 A   
  22,50 MeV   2,904E+00  2,308E-03   19,18 um     7599 A      8057 A   
  25,00 MeV   2,768E+00  2,109E-03   21,74 um     8520 A      8549 A   
  27,50 MeV   2,639E+00  1,943E-03   24,42 um     9431 A      9063 A   
  30,00 MeV   2,512E+00  1,803E-03   27,24 um     1,03 um     9602 A   
  32,50 MeV   2,406E+00  1,682E-03   30,19 um     1,13 um     1,02 um  
  35,00 MeV   2,309E+00  1,578E-03   33,27 um     1,22 um     1,08 um  
  37,50 MeV   2,221E+00  1,486E-03   36,47 um     1,31 um     1,14 um  
  40,00 MeV   2,141E+00  1,405E-03   39,80 um     1,40 um     1,20 um  
  45,00 MeV   2,000E+00  1,268E-03   46,82 um     1,74 um     1,33 um  
  50,00 MeV   1,878E+00  1,157E-03   54,31 um     2,06 um     1,48 um  
  55,00 MeV   1,772E+00  1,065E-03   62,26 um     2,36 um     1,63 um  
  60,00 MeV   1,679E+00  9,869E-04   70,68 um     2,67 um     1,79 um  
  65,00 MeV   1,596E+00  9,201E-04   79,55 um     2,97 um     1,96 um  
  70,00 MeV   1,522E+00  8,622E-04   88,86 um     3,27 um     2,14 um  
